province,month,exchange_rate,province_gdp_growth,inflation
P01,2024m11,7.12,0.045,0.008
P01,2024m12,7.15,0.045,0.008
P01,2025m01,7.18,0.044,0.009
P01,2025m02,7.17,0.044,0.009
P01,2025m03,7.16,0.043,0.010
P01,2025m04,7.15,0.043,0.010
P02,2024m11,7.12,0.039,0.007
P02,2024m12,7.15,0.039,0.007
P02,2025m01,7.18,0.038,0.008
P02,2025m02,7.17,0.038,0.008
P02,2025m03,7.16,0.037,0.009
P02,2025m04,7.15,0.037,0.009
P03,2024m11,7.12,0.034,0.006
P03,2024m12,7.15,0.034,0.006
P03,2025m01,7.18,0.033,0.007
P03,2025m02,7.17,0.033,0.007
P03,2025m03,7.16,0.032,0.008
P03,2025m04,7.15,0.032,0.008

