province,destination,month,export_value,treated
P01,United States,2024m11,1200,1
P01,United States,2024m12,1180,1
P01,United States,2025m01,1040,1
P01,United States,2025m02,1015,1
P01,United States,2025m03,1008,1
P01,United States,2025m04,990,1
P01,European Union,2024m11,980,0
P01,European Union,2024m12,995,0
P01,European Union,2025m01,1008,0
P01,European Union,2025m02,1011,0
P01,European Union,2025m03,1020,0
P01,European Union,2025m04,1035,0
P02,United States,2024m11,850,1
P02,United States,2024m12,842,1
P02,United States,2025m01,760,1
P02,United States,2025m02,748,1
P02,United States,2025m03,735,1
P02,United States,2025m04,730,1
P02,European Union,2024m11,790,0
P02,European Union,2024m12,800,0
P02,European Union,2025m01,810,0
P02,European Union,2025m02,818,0
P02,European Union,2025m03,824,0
P02,European Union,2025m04,832,0
P03,United States,2024m11,660,1
P03,United States,2024m12,655,1
P03,United States,2025m01,604,1
P03,United States,2025m02,598,1
P03,United States,2025m03,590,1
P03,United States,2025m04,585,1
P03,European Union,2024m11,620,0
P03,European Union,2024m12,626,0
P03,European Union,2025m01,635,0
P03,European Union,2025m02,640,0
P03,European Union,2025m03,646,0
P03,European Union,2025m04,650,0

